N,i,time
10000,341,0.00246933
10000,346,0.00246
10000,351,0.00255167
10000,356,0.00240433
10000,361,0.002677
10000,366,0.00246967
10000,371,0.00252033
10000,376,0.00247933
10000,381,0.00254133
10000,386,0.00245733
10000,391,0.00245767
10000,396,0.002584
10000,401,0.00239467
10000,406,0.00243233
10000,411,0.002673
10000,416,0.00244233
10000,421,0.00260367
10000,426,0.002456
10000,431,0.00249067
10000,436,0.00243533
10000,441,0.00240233
10000,446,0.00239733
10000,451,0.00274333
10000,456,0.00267467
10000,461,0.00239133
10000,466,0.002418
10000,471,0.00241367
10000,476,0.00255867
10000,481,0.002514
10000,486,0.00254467
10000,491,0.002678
10000,496,0.002488
10000,501,0.002404
10000,514,0.00240833
10000,527,0.00241533
10000,540,0.00242967
10000,553,0.002376
10000,566,0.00243067
10000,579,0.00242633
10000,592,0.002392
10000,605,0.002414
10000,618,0.00257467
10000,631,0.004031
10000,644,0.004031
10000,657,0.00455433
10000,670,0.004695
10000,683,0.00421733
10000,696,0.00430367
10000,709,0.00397567
10000,722,0.003904
10000,735,0.0039
10000,748,0.00504233
10000,761,0.00389967
10000,774,0.00397667
10000,787,0.00397633
10000,800,0.00398867
10000,813,0.00400167
10000,826,0.003938
10000,839,0.00403967
10000,852,0.00406033
10000,865,0.00406967
10000,878,0.00410433
10000,891,0.003896
10000,904,0.00407533
10000,917,0.00402667
10000,930,0.004065
10000,943,0.003993
10000,956,0.00399767
10000,969,0.00387933
10000,982,0.00395933
10000,995,0.00393167
10000,1008,0.003906
10000,1021,0.003881
10000,1034,0.00388433
10000,1047,0.00404433
10000,1060,0.004
10000,1073,0.00400667
10000,1086,0.00407
10000,1099,0.004022
10000,1112,0.00402233
10000,1125,0.00401467
10000,1138,0.00400333
10000,1151,0.00402967
10000,1164,0.00390833
10000,1177,0.004034
10000,1190,0.00405167
10000,1203,0.004029
10000,1216,0.004026
10000,1229,0.003993
10000,1242,0.00401
10000,1255,0.00745233
10000,1268,0.007792
10000,1281,0.00725333
10000,1294,0.00740133
10000,1307,0.00757033
10000,1320,0.00712167
10000,1333,0.007898
10000,1346,0.007573
10000,1359,0.007464
10000,1372,0.007365
10000,1385,0.007439
10000,1398,0.00745133
10000,1411,0.00761267
10000,1424,0.00736433
10000,1437,0.007802
10000,1450,0.00719333
10000,1463,0.007227
10000,1476,0.00742933
10000,1489,0.00771067
10000,1502,0.007414
10000,1515,0.00751867
10000,1528,0.00773333
10000,1541,0.00745033
10000,1554,0.007713
10000,1567,0.00758767
10000,1580,0.00768933
10000,1593,0.00762733
10000,1606,0.00763667
10000,1619,0.00758133
10000,1632,0.00741267
10000,1645,0.007479
10000,1658,0.007552
10000,1671,0.00752533
10000,1684,0.00735833
10000,1697,0.00738467
10000,1710,0.007438
10000,1723,0.00737367
10000,1736,0.007457
10000,1749,0.00755733
10000,1762,0.00741933
10000,1775,0.008412
10000,1788,0.00808433
10000,1801,0.00774133
10000,1814,0.00768
10000,1827,0.007386
10000,1840,0.00736167
10000,1853,0.00740733
10000,1866,0.00749533
10000,1879,0.00756267
10000,1892,0.00747767
10000,1905,0.00802433
10000,1918,0.00744067
10000,1931,0.007443
10000,1944,0.00725233
10000,1957,0.00739433
10000,1970,0.00740833
10000,1983,0.00738033
10000,1996,0.00753433
50000,1,0.0248127
50000,6,0.0147943
50000,11,0.014146
50000,16,0.01177
50000,21,0.0115297
50000,26,0.00983133
50000,31,0.00991367
50000,36,0.0102
50000,41,0.0101427
50000,46,0.00990333
50000,51,0.009476
50000,56,0.00906633
50000,61,0.009143
50000,66,0.00924567
50000,71,0.009085
50000,76,0.00900367
50000,81,0.0093
50000,86,0.00910333
50000,91,0.009078
50000,96,0.009047
50000,101,0.00910433
50000,106,0.009367
50000,111,0.00916967
50000,116,0.009319
50000,121,0.009046
50000,126,0.00911767
50000,131,0.009256
50000,136,0.00940833
50000,141,0.009389
50000,146,0.00959433
50000,151,0.00928567
50000,156,0.00910567
50000,161,0.009072
50000,166,0.00929867
50000,171,0.009342
50000,176,0.009215
